flipped,year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,runoff,special,candidate,party,writein,mode,candidatevotes,totalvotes,unofficial,version,fusion_ticket
True,2012,FLORIDA,FL,12,59,43,US HOUSE,3,gen,,False,TED YOHO,REPUBLICAN,False,TOTAL,204331,315669,False,20201202,False
False,2012,FLORIDA,FL,12,59,43,US HOUSE,4,gen,,False,ANDER CRENSHAW,REPUBLICAN,False,TOTAL,239988,315470,False,20201202,False
True,2012,FLORIDA,FL,12,59,43,US HOUSE,5,gen,,False,CORRINE BROWN,DEMOCRAT,False,TOTAL,190472,269153,False,20201202,False
False,2012,FLORIDA,FL,12,59,43,US HOUSE,6,gen,,False,RON DESANTIS,REPUBLICAN,False,TOTAL,195962,342451,False,20201202,False
False,2012,FLORIDA,FL,12,59,43,US HOUSE,7,gen,,False,JOHN L. MICA,REPUBLICAN,False,TOTAL,185518,316010,False,20201202,False
False,2012,FLORIDA,FL,12,59,43,US HOUSE,8,gen,,False,BILL POSEY,REPUBLICAN,False,TOTAL,205432,348909,False,20201202,False
True,2012,FLORIDA,FL,12,59,43,US HOUSE,9,gen,,False,ALAN GRAYSON,DEMOCRAT,False,TOTAL,164891,263747,False,20201202,False
False,2012,FLORIDA,FL,12,59,43,US HOUSE,10,gen,,False,DANIEL WEBSTER,REPUBLICAN,False,TOTAL,164649,318269,False,20201202,False
True,2012,FLORIDA,FL,12,59,43,US HOUSE,11,gen,,False,RICHARD B. NUGENT,REPUBLICAN,False,TOTAL,218360,338663,False,20201202,False
False,2012,FLORIDA,FL,12,59,43,US HOUSE,12,gen,,False,GUS M. BILIRAKIS,REPUBLICAN,False,TOTAL,209604,330167,False,20201202,False
False,2012,FLORIDA,FL,12,59,43,US HOUSE,13,gen,,False,C. W. BILL YOUNG,REPUBLICAN,False,TOTAL,189605,329347,False,20201202,False
True,2012,FLORIDA,FL,12,59,43,US HOUSE,14,gen,,False,KATHY CASTOR,DEMOCRAT,False,TOTAL,197121,280601,False,20201202,False
False,2012,FLORIDA,FL,12,59,43,US HOUSE,15,gen,,False,DENNIS A. ROSS,REPUBLICAN,False,TOTAL,1,1,False,20201202,False
False,2012,FLORIDA,FL,12,59,43,US HOUSE,16,gen,,False,VERN BUCHANAN,REPUBLICAN,False,TOTAL,187147,349076,False,20201202,False
True,2012,FLORIDA,FL,12,59,43,US HOUSE,17,gen,,False,THOMAS J. ROONEY,REPUBLICAN,False,TOTAL,165488,282266,False,20201202,False
True,2012,FLORIDA,FL,12,59,43,US HOUSE,18,gen,,False,PATRICK MURPHY,DEMOCRAT,False,TOTAL,166257,330665,False,20201202,False
True,2012,FLORIDA,FL,12,59,43,US HOUSE,19,gen,,False,TREY RADEL,REPUBLICAN,False,TOTAL,189833,306216,False,20201202,False
False,2012,FLORIDA,FL,12,59,43,US HOUSE,20,gen,,False,ALCEE L. HASTINGS,DEMOCRAT,False,TOTAL,214727,244285,False,20201202,False
True,2012,FLORIDA,FL,12,59,43,US HOUSE,21,gen,,False,THEODORE E. DEUTCH,DEMOCRAT,False,TOTAL,221263,284400,False,20201202,False
True,2012,FLORIDA,FL,12,59,43,US HOUSE,22,gen,,False,LOIS FRANKEL,DEMOCRAT,False,TOTAL,171021,313071,False,20201202,False
False,2012,FLORIDA,FL,12,59,43,US HOUSE,23,gen,,False,DEBBIE WASSERMAN SCHULTZ,DEMOCRAT,False,TOTAL,174205,275430,False,20201202,False
